fight_id,fighter_id,fighter,kd,sub_att,rev,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted,ctrl_seconds
7d4e11c2a9485320,a331233f597090a5,Bryan Barberena,1,0,0,28.0,45.0,28.0,45.0,0.0,0.0,22.0,36.0,1.0,1.0,5.0,8.0,16.0,29.0,6.0,9.0,6.0,7.0,7.0
7d4e11c2a9485320,a36556bb1565e32d,Joe Proctor,0,0,0,8.0,23.0,8.0,23.0,0.0,0.0,4.0,16.0,2.0,5.0,2.0,2.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0
c420c376cc1d149c,c96d9178c9ed9e62,Tim Elliott,1,0,0,79.0,179.0,117.0,227.0,3.0,9.0,30.0,113.0,15.0,26.0,34.0,40.0,64.0,160.0,15.0,19.0,0.0,0.0,52.0
c420c376cc1d149c,f00ac08ab056af5d,Tagir Ulanbekov,0,1,0,90.0,186.0,111.0,212.0,2.0,10.0,70.0,162.0,15.0,19.0,5.0,5.0,65.0,158.0,23.0,26.0,2.0,2.0,295.0
58811a4e36c53b89,f748267c4ab6c127,Rhys McKee,3,0,0,43.0,111.0,59.0,133.0,0.0,0.0,33.0,99.0,6.0,8.0,4.0,4.0,38.0,101.0,3.0,8.0,2.0,2.0,70.0
58811a4e36c53b89,7cec3c4a5e7b6d68,Daniel Frunza,0,0,0,43.0,117.0,50.0,124.0,0.0,0.0,31.0,98.0,3.0,9.0,9.0,10.0,37.0,107.0,6.0,10.0,0.0,0.0,0.0
9f4bc2063685211c,cf65d56b0755ed3b,Alan Jouban,0,0,0,12.0,25.0,12.0,25.0,0.0,0.0,7.0,18.0,4.0,5.0,1.0,2.0,8.0,16.0,4.0,9.0,0.0,0.0,1.0
9f4bc2063685211c,303a05a7aa3ff761,Richard Walsh,0,0,0,10.0,20.0,14.0,25.0,0.0,0.0,3.0,11.0,5.0,5.0,2.0,4.0,8.0,18.0,2.0,2.0,0.0,0.0,17.0
207f105716df54f9,159da492e000afbf,Leandro Silva,0,1,0,4.0,8.0,12.0,16.0,1.0,1.0,2.0,5.0,2.0,3.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,64.0
207f105716df54f9,98f6da59d765ec94,Charlie Brenneman,0,0,0,4.0,9.0,9.0,16.0,3.0,8.0,1.0,4.0,0.0,2.0,3.0,3.0,3.0,8.0,0.0,0.0,1.0,1.0,142.0
bd52e19f2fbefdde,d910665038efc639,Carla Esparza,0,0,0,4.0,22.0,6.0,24.0,1.0,17.0,3.0,19.0,1.0,2.0,0.0,1.0,2.0,19.0,2.0,3.0,0.0,0.0,69.0
bd52e19f2fbefdde,3d6749c4267da18f,Joanna Jedrzejczyk,0,0,0,53.0,105.0,55.0,107.0,0.0,0.0,50.0,101.0,3.0,4.0,0.0,0.0,32.0,75.0,16.0,25.0,5.0,5.0,29.0
23e96ddeb14b5936,fc9a9559a05f2704,Eddie Wineland,0,0,0,6.0,56.0,6.0,56.0,0.0,0.0,3.0,53.0,1.0,1.0,2.0,2.0,6.0,56.0,0.0,0.0,0.0,0.0,0.0
23e96ddeb14b5936,528c24b99fbaab79,Johnny Eduardo,1,0,0,11.0,20.0,11.0,20.0,0.0,3.0,3.0,11.0,1.0,1.0,7.0,8.0,10.0,19.0,1.0,1.0,0.0,0.0,2.0
bbcb7b5ca439bebb,80eacd4da0617c57,Joseph Benavidez,1,0,0,20.0,52.0,20.0,52.0,0.0,0.0,13.0,40.0,4.0,7.0,3.0,5.0,16.0,46.0,0.0,2.0,4.0,4.0,5.0
bbcb7b5ca439bebb,b102c26727306ab6,Jussier Formiga,0,0,0,6.0,18.0,6.0,18.0,0.0,0.0,5.0,15.0,1.0,3.0,0.0,0.0,5.0,17.0,1.0,1.0,0.0,0.0,0.0
d8f64b001cd590fa,f1f9e48a0d150757,Steve Cantwell,0,1,0,15.0,29.0,19.0,33.0,1.0,1.0,9.0,22.0,4.0,5.0,2.0,2.0,12.0,24.0,1.0,2.0,2.0,3.0,78.0
d8f64b001cd590fa,38b50fd1e1b5b656,Razak Al-Hassan,0,0,0,13.0,56.0,15.0,58.0,0.0,1.0,5.0,46.0,2.0,3.0,6.0,7.0,12.0,53.0,1.0,3.0,0.0,0.0,17.0
bc6100e6dd239db7,1bcaac2d99b90fce,Sergio Moraes,0,1,0,28.0,54.0,56.0,84.0,0.0,4.0,21.0,44.0,5.0,8.0,2.0,2.0,19.0,43.0,3.0,4.0,6.0,7.0,271.0
bc6100e6dd239db7,9ccf8371fd80d45d,Luan Chagas,1,0,1,46.0,115.0,58.0,128.0,0.0,1.0,23.0,82.0,10.0,19.0,13.0,14.0,42.0,107.0,2.0,2.0,2.0,6.0,102.0
7e2bc09d866b3bd7,0dba4df5f34d5ff0,Rafael Natal,0,0,0,14.0,23.0,15.0,24.0,0.0,1.0,8.0,16.0,2.0,3.0,4.0,4.0,13.0,20.0,1.0,3.0,0.0,0.0,0.0
7e2bc09d866b3bd7,cad24459b28592ca,Eryk Anders,1,0,0,23.0,29.0,23.0,29.0,1.0,2.0,22.0,28.0,1.0,1.0,0.0,0.0,10.0,13.0,2.0,2.0,11.0,14.0,46.0
a5c76ead1a2767b6,d1e7fc58d4225cdf,Danny Castillo,0,1,0,55.0,125.0,67.0,140.0,1.0,10.0,53.0,120.0,1.0,4.0,1.0,1.0,27.0,73.0,1.0,1.0,27.0,51.0,182.0
a5c76ead1a2767b6,64a50dad704d1d49,Edson Barboza,1,1,0,43.0,123.0,43.0,125.0,0.0,1.0,16.0,84.0,11.0,22.0,16.0,17.0,35.0,109.0,0.0,0.0,8.0,14.0,54.0
be6024894ebcb360,f5990c11974d8e9c,Mike Pyle,1,0,0,18.0,28.0,38.0,57.0,1.0,1.0,12.0,21.0,5.0,6.0,1.0,1.0,10.0,16.0,6.0,8.0,2.0,4.0,175.0
be6024894ebcb360,d1a1314976c50bef,Josh Neer,0,0,0,19.0,35.0,39.0,59.0,0.0,1.0,10.0,26.0,9.0,9.0,0.0,0.0,10.0,24.0,9.0,11.0,0.0,0.0,9.0
5254658d4e4126c9,c47df9303d318c67,Clay Guida,0,4,0,11.0,40.0,35.0,65.0,2.0,9.0,4.0,27.0,5.0,11.0,2.0,2.0,6.0,25.0,5.0,15.0,0.0,0.0,167.0
5254658d4e4126c9,2676b28836a5a836,Benson Henderson,1,0,0,40.0,89.0,102.0,158.0,2.0,7.0,16.0,56.0,23.0,30.0,1.0,3.0,7.0,37.0,21.0,38.0,12.0,14.0,447.0
a2f31cf3a28a7730,9e8f6c728eb01124,Justin Gaethje,1,0,0,72.0,134.0,98.0,163.0,0.0,3.0,56.0,117.0,9.0,9.0,7.0,8.0,41.0,92.0,26.0,34.0,5.0,8.0,92.0
a2f31cf3a28a7730,c814b4c899793af6,Rafael Fiziev,0,0,0,68.0,119.0,81.0,134.0,2.0,2.0,20.0,61.0,43.0,52.0,5.0,6.0,49.0,100.0,14.0,14.0,5.0,5.0,40.0
ec5163539a133f17,f1fac969a1d70b08,Leon Edwards,0,0,2,47.0,71.0,89.0,114.0,2.0,2.0,32.0,53.0,12.0,15.0,3.0,3.0,35.0,58.0,6.0,7.0,6.0,6.0,431.0
ec5163539a133f17,b1b0729d27936f2f,Belal Muhammad,0,0,0,68.0,121.0,192.0,281.0,9.0,13.0,59.0,110.0,9.0,11.0,0.0,0.0,62.0,111.0,0.0,4.0,6.0,6.0,722.0
611ccad0fc46ba51,14ff46596ad80609,Norman Parke,0,0,0,34.0,83.0,41.0,91.0,2.0,2.0,25.0,68.0,5.0,7.0,4.0,8.0,5.0,27.0,5.0,9.0,24.0,47.0,214.0
611ccad0fc46ba51,bc8f6b42767e28df,Naoyuki Kotani,0,0,0,8.0,35.0,16.0,43.0,0.0,7.0,5.0,26.0,1.0,3.0,2.0,6.0,7.0,32.0,1.0,3.0,0.0,0.0,61.0
77d82e8a220053ea,d28dee5c705991df,Stipe Miocic,0,0,0,63.0,187.0,77.0,205.0,1.0,1.0,48.0,169.0,6.0,6.0,9.0,12.0,46.0,157.0,0.0,1.0,17.0,29.0,126.0
77d82e8a220053ea,270b89c00ef0c55c,Gabriel Gonzaga,0,0,0,29.0,82.0,33.0,87.0,1.0,6.0,17.0,58.0,0.0,7.0,12.0,17.0,27.0,78.0,2.0,4.0,0.0,0.0,5.0
5dde61734080ac4a,3a46b268013afede,Kevin Holland,1,0,0,82.0,173.0,111.0,207.0,1.0,4.0,53.0,126.0,13.0,22.0,16.0,25.0,60.0,137.0,17.0,27.0,5.0,9.0,127.0
5dde61734080ac4a,8a1f3b5c526cd6e6,Daniel Rodriguez,2,0,0,77.0,149.0,111.0,189.0,0.0,1.0,49.0,106.0,13.0,26.0,15.0,17.0,54.0,107.0,6.0,7.0,17.0,35.0,214.0
bbb67c2ac4453d64,065eb44700e641a4,Devin Powell,0,0,0,22.0,80.0,44.0,102.0,0.0,0.0,7.0,57.0,7.0,12.0,8.0,11.0,15.0,66.0,7.0,14.0,0.0,0.0,7.0
