fighter,fighter_id,event_date,weight_class,win_rate,total_fights,current_streak,sig_str_per_min,td_att_per_min,td_success_per_min,ctrl_sec_per_min,kd_per_min,distance_str_per_min,clinch_str_per_min,ground_str_per_min,sub_att_per_min,distance_strike_ratio,clinch_strike_ratio,ground_strike_ratio,head_target_ratio,body_target_ratio,leg_target_ratio
Edimilson Souza,6c7020b859c7a3ce,2015-11-07,Featherweight,0.75,4,-1,7.666129032258065,0.0,0.0,6.449999999999999,0.1,6.27741935483871,0.6403225806451612,0.7483870967741936,0.0,0.7231416235330292,0.05099805258033106,0.22586032388663968,0.7880342592118076,0.20715804848050015,0.004807692307692308
Ednaldo Oliveira,acd9513399a8b09b,2013-08-03,Light Heavyweight,0.0,2,-2,1.9,0.1,0.0,19.3,0.0,0.9,0.5,0.5,0.0,0.23684210526315788,0.13157894736842105,0.13157894736842105,0.34210526315789475,0.13157894736842105,0.02631578947368421
Eduardo Garagorri,7bde387d50829adf,2020-11-07,Featherweight,0.3333333333333333,3,-2,6.319236417033774,0.06666666666666667,0.06666666666666667,9.240528634361235,0.0,5.1215859030837,0.6654919236417034,0.53215859030837,0.0,0.8726495726495727,0.0688034188034188,0.05854700854700854,0.6618233618233619,0.2971509971509972,0.041025641025641026
Edward Faaloloto,6224e8d0a34264eb,2011-11-05,Lightweight,0.0,2,-2,1.7,0.0,0.0,1.9000000000000001,0.0,1.0,0.7,0.0,0.0,0.29411764705882354,0.20588235294117646,0.0,0.08823529411764706,0.14705882352941177,0.2647058823529412
Edwin DeWees,75bbd2206a15319f,2006-11-11,Middleweight,0.0,3,-3,1.0,0.13333333333333333,0.13333333333333333,7.8,0.0,0.4666666666666666,0.5333333333333333,0.0,0.20000000000000004,0.4222222222222222,0.5777777777777777,0.0,0.37222222222222223,0.4388888888888889,0.18888888888888888
Edwin Figueroa,bbfca6d5c27d9cd8,2013-11-16,Bantamweight,0.3333333333333333,6,-3,5.29282073613713,0.03333333333333333,0.03333333333333333,23.643595886504016,0.060957642725598525,3.3651817589699657,0.23812154696132595,1.6895174302058376,0.06873156342182891,0.6293194212998031,0.03821972821177487,0.33246085048842206,0.707182553709595,0.2061505832449629,0.08666686304544206
Efrain Escudero,83fd97284f4bb4a4,2016-04-23,Lightweight,0.3,10,-2,7.163473352973331,0.44723875668159624,0.0920801128148373,26.21928313781906,0.07063033806384568,4.730647411874658,1.5865460232370519,0.846279917861621,0.11320456540825286,0.6605438958925784,0.22345157836761617,0.11600452573980531,0.5707173986330345,0.14313739843366266,0.2861452029333029
Eiji Mitsuoka,2b4faacc16d66898,2012-08-11,Featherweight,0.0,2,-2,3.7,0.6000000000000001,0.1,9.399999999999999,0.1,3.6,0.0,0.1,0.1,0.9,0.0,0.1,0.884375,0.1,0.015625
Elias Garcia,ac5a7400da3a9a41,2018-12-01,Flyweight,0.0,2,-2,2.739160839160839,0.36713286713286714,0.05244755244755245,1.4685314685314685,0.05244755244755245,2.486713286713287,0.25244755244755246,0.0,0.1048951048951049,0.9161184210526316,0.08388157894736842,0.0,0.5641447368421053,0.11019736842105263,0.3256578947368421
Elias Silverio,52ba464d9068d871,2015-08-23,Lightweight,0.6,5,-2,8.511167838900613,0.5791436627370645,0.2010330364839686,34.73311475409836,0.017673048600883652,6.285342774429628,1.4404912561416137,0.7853338083293717,0.04,0.7073174180317038,0.17274167631310489,0.11994090565519136,0.45011120273025035,0.33234350305778876,0.2175452942119609
