fighter,fighter_id,event_date,weight_class,win_rate,total_fights,current_streak,sig_str_per_min,td_att_per_min,td_success_per_min,ctrl_sec_per_min,kd_per_min,distance_str_per_min,clinch_str_per_min,ground_str_per_min,sub_att_per_min,distance_strike_ratio,clinch_strike_ratio,ground_strike_ratio,head_target_ratio,body_target_ratio,leg_target_ratio
Zhang Weili,1ebe20ebbfa15e29,2026-02-07,Women's Flyweight,0.7692307692307693,13,-1,10.45738069904249,0.6509556974035002,0.24996295698881082,29.048679678530426,0.03554212075411662,6.880124215507876,0.8626763767867718,2.7145801067478392,0.06529316785332925,0.6109267110615723,0.10812193443945518,0.28095135449897257,0.5380766275220917,0.18232468830903578,0.27959868416887246
Jumabieke Tuerxun,1ed32eaaba9ffe10,2026-02-07,Bantamweight,0.0,3,-3,2.987096774193548,0.2903225806451613,0.03225806451612903,5.911827956989247,0.0,2.563440860215054,0.22580645161290322,0.1978494623655914,0.06451612903225806,0.7297979797979798,0.19444444444444445,0.07575757575757576,0.4646464646464647,0.2727272727272727,0.2626262626262626
David Bielkheden,1efa064872f089d0,2026-02-07,Lightweight,0.3333333333333333,3,-1,1.5454545454545456,0.3703703703703704,0.2356902356902357,21.53333333333333,0.0,0.06666666666666667,0.8053872053872054,0.6734006734006734,0.0,0.08333333333333333,0.7314814814814815,0.1851851851851852,0.2962962962962963,0.4537037037037037,0.25
Yorgan De Castro,1eff7bc0f815b270,2026-02-07,Heavyweight,0.25,4,-3,3.9,0.05,0.0,10.65,0.05,3.9,0.0,0.0,0.0,1.0,0.0,0.0,0.5625,0.1875,0.25
Garrett Armfield,1effd880e1f1bb30,2026-02-07,Bantamweight,0.4,5,-2,11.430000000000001,0.32,0.16,23.56142857142857,0.0757142857142857,9.745714285714286,0.6185714285714285,1.0657142857142858,0.0757142857142857,0.8297199067420395,0.05262814985148989,0.11765194340647056,0.7717198428667242,0.17610041199578422,0.052179745137491615
Anderson Silva,1f454354805b6f75,2026-02-07,Middleweight,0.72,25,-3,6.392102081531792,0.02601173512154233,0.018011735121542333,6.428802757871622,0.1427605633802817,4.392990334943202,0.9760671790998355,1.0230445674887547,0.03003520536462699,0.5875508700795226,0.17218537066777168,0.2402637592527058,0.5823751685412164,0.21683594180365084,0.20078888965513275
Johnny Case,1f4b04a926ef1287,2026-02-07,Lightweight,0.6666666666666666,6,-2,9.620452302698647,0.5961587708066581,0.248442168160478,33.15711252653928,0.06518046709129512,7.3884026412868264,0.6002316155182397,1.6318180458935816,0.03333333333333333,0.7400579597429265,0.07134060123190558,0.18860143902516788,0.621443470688128,0.20569643888545877,0.17286009042641318
Sam Fulton,1f5f75658551f2d3,2026-02-07,Heavyweight,0.0,1,-1,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
James Hammortree,1f77fce698e80488,2026-02-07,Middleweight,0.0,1,-1,5.8,0.8,0.4,28.6,0.0,2.8,2.6,0.4,0.2,0.4827586206896552,0.4482758620689655,0.06896551724137931,0.7241379310344828,0.06896551724137931,0.20689655172413793
Ryan McGillivray,1f9c371c93dfd3a9,2026-02-07,Welterweight,0.0,1,-1,2.0320855614973263,0.10695187165775401,0.0,0.0,0.0,1.9251336898395723,0.0,0.10695187165775401,0.0,0.9473684210526315,0.0,0.05263157894736842,0.8947368421052632,0.10526315789473684,0.0
Fabio Maldonado,1fb80f46d3c105d9,2026-02-07,Light Heavyweight,0.45454545454545453,11,-2,11.78927154706534,0.12399403874813712,0.07272727272727274,17.105383433641205,0.018181818181818184,7.933131819376964,2.9969767034775145,0.8591630242108624,0.08767123287671233,0.6848710618665166,0.21516587429912243,0.09996306383436107,0.6867317296169708,0.3090122798008327,0.004255990582196543
Rostem Akman,1fc64507a0cb38cf,2026-02-07,Welterweight,0.0,2,-2,5.4,0.5,0.2,20.2,0.0,4.2,1.2000000000000002,0.0,0.0,0.764102564102564,0.2358974358974359,0.0,0.6512820512820513,0.27692307692307694,0.07179487179487179
Peter Sobotta,1fcfc3709fe58151,2026-02-07,Welterweight,0.4,10,-2,4.033322572657779,0.5729149887827367,0.1709161390601964,29.487999999999992,0.06964630225080386,3.365802094760287,0.21079460104989128,0.4567258768476011,0.054286959334992765,0.8404126729890878,0.07159732425193328,0.08799000275897886,0.5817400470219185,0.18412156053639955,0.23413839244168178
Drew McFedries,1fd4fbdcc67de844,2026-02-07,Middleweight,0.4444444444444444,9,-1,2.4,0.044444444444444446,0.044444444444444446,1.3777777777777778,0.13333333333333336,1.2666666666666668,0.5777777777777778,0.5555555555555556,0.022222222222222223,0.5568412452700379,0.17527376447655085,0.2678849902534113,0.8272617819057448,0.07043056988877422,0.10230764820548102
Yuki Kondo,1fe7adb23b3eedfb,2026-02-07,Light Heavyweight,0.3333333333333333,3,-2,1.8710382513661201,0.0468384074941452,0.0,13.417316017316018,0.11861471861471862,0.6242850046128735,0.2597402597402597,0.9870129870129869,0.0,0.7575757575757575,0.050505050505050504,0.19191919191919193,0.44949494949494956,0.5505050505050505,0.0
Frank Mir,1ff9589f9065a9ed,2026-02-07,Heavyweight,0.5925925925925926,27,-2,2.113762952663133,0.32277971591974514,0.11985277633369978,13.79053426759866,0.05671448253505146,0.9538029978400123,0.6789399473870458,0.4810200074360749,0.14735689687037515,0.5265415845549835,0.255470500482122,0.1809508779258574,0.48953599329401576,0.22573080008703067,0.24769616958191648
Lowell Anderson,1ffc38f67785797b,2026-02-07,Middleweight,0.0,1,-1,1.8,0.2,0.0,0.6,0.0,1.8,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
Tyson Griffin,20205040232ed0f3,2026-02-07,Featherweight,0.5714285714285714,14,-1,7.769314350335579,0.5101795096328556,0.22199737615742482,24.150829766784405,0.024299065420560744,5.892808431143733,1.021286590862825,0.8552193283290226,0.1167609276065812,0.7117765015087608,0.12195144111995897,0.09484348594270887,0.4669206172003907,0.1716254605163106,0.29002535085472736
Viktor Pesta,202b0467521c9d6f,2026-02-07,Heavyweight,0.2,5,-3,2.4305623162832917,1.127140912040788,0.30696250800612496,36.88000000000001,0.0,1.0750628825443145,0.34581352833638024,1.0096859054025966,0.0,0.5005494505494504,0.07098901098901098,0.42846153846153845,0.73003663003663,0.19139194139194138,0.07857142857142857
