fight_id,fighter_id,fighter,kd,sig_str,sig_str_pct,total_str,td,td_pct,sub_att,rev,ctrl,head,body,leg,distance,clinch,ground
08e7a39eb7482ebf,92a9aa9c93192871,Darren Elkins,0,13 of 31,41%,18 of 45,1 of 7,14%,0,0,0:48,11 of 28,1 of 2,1 of 1,12 of 29,0 of 0,1 of 2
08e7a39eb7482ebf,902ec2cc48c8ae8a,Julian Erosa,0,54 of 73,73%,69 of 92,0 of 0,---,0,0,0:48,52 of 71,0 of 0,2 of 2,22 of 39,11 of 12,21 of 22
1ff4586752ee8a93,d4c9dcd330403612,Anthony Smith,0,9 of 21,42%,40 of 53,0 of 2,0%,0,0,0:36,5 of 16,0 of 1,4 of 4,6 of 14,1 of 2,2 of 5
1ff4586752ee8a93,333b9e5c723ac873,Aleksandar Rakic,1,44 of 57,77%,141 of 159,0 of 0,---,0,0,12:14,16 of 28,7 of 8,21 of 21,25 of 34,2 of 2,17 of 21
ca28f69fa42f88ed,353de740bb6c7e75,Mike Russow,0,25 of 45,55%,29 of 51,1 of 6,16%,0,0,3:38,25 of 45,0 of 0,0 of 0,15 of 27,10 of 18,0 of 0
ca28f69fa42f88ed,ca2efc9d7d523c43,Shawn Jordan,0,42 of 72,58%,56 of 88,2 of 2,100%,0,0,2:04,39 of 68,3 of 4,0 of 0,11 of 36,9 of 13,22 of 23
330506571d2778b1,fb3e61720be4690c,Mike Davis,0,65 of 133,48%,101 of 174,9 of 11,81%,1,0,8:02,53 of 118,5 of 7,7 of 8,27 of 75,1 of 1,37 of 57
330506571d2778b1,19c591115a58982c,Viacheslav Borshchev,0,63 of 118,53%,84 of 139,0 of 0,---,0,1,0:14,29 of 81,10 of 13,24 of 24,62 of 115,0 of 0,1 of 3
e6663b2c16df6191,8a304bfd6bf04a57,Demetrious Johnson,1,7 of 14,50%,9 of 16,0 of 1,0%,0,0,0:02,5 of 11,0 of 0,2 of 3,3 of 10,0 of 0,4 of 4
e6663b2c16df6191,80eacd4da0617c57,Joseph Benavidez,0,4 of 27,14%,4 of 27,0 of 0,---,0,0,0:00,1 of 20,0 of 4,3 of 3,4 of 26,0 of 1,0 of 0
981ed463bf5d91a8,917a5cb9821df261,Jeremy Kimball,0,4 of 16,25%,4 of 16,0 of 1,0%,0,0,0:00,1 of 13,0 of 0,3 of 3,4 of 16,0 of 0,0 of 0
981ed463bf5d91a8,025f0b1b58fbad01,Darko Stosic,0,9 of 16,56%,9 of 17,0 of 0,---,0,0,0:12,8 of 12,0 of 2,1 of 2,1 of 5,0 of 0,8 of 11
1a66e67add5d55ef,0ff11cc094e887bc,Cain Velasquez,1,50 of 79,63%,90 of 124,1 of 3,33%,0,0,2:36,35 of 63,5 of 6,10 of 10,28 of 49,5 of 8,17 of 22
